,Date,Visitor,G,Home,G,,Att.,LOG,Notes
101,2015-10-23,Detroit Red Wings,2,Calgary Flames,3,OT,"19,158",02:37,
102,2015-10-23,Washington Capitals,7,Edmonton Oilers,4,,"16,839",02:28,
103,2015-10-23,Carolina Hurricanes,0,Los Angeles Kings,3,,"18,230",02:31,
104,2015-10-23,Boston Bruins,5,New York Islanders,3,,"13,113",02:45,
105,2015-10-23,Tampa Bay Lightning,4,Winnipeg Jets,3,OT,"15,294",02:31,
106,2015-10-24,New Jersey Devils,4,Buffalo Sabres,3,,"18,040",02:31,
107,2015-10-24,Tampa Bay Lightning,0,Chicago Blackhawks,1,OT,"21,822",02:23,
108,2015-10-24,Columbus Blue Jackets,4,Colorado Avalanche,3,,"18,007",02:30,
109,2015-10-24,Florida Panthers,6,Dallas Stars,2,,"18,532",02:34,
110,2015-10-24,Anaheim Ducks,0,Minnesota Wild,3,,"19,034",02:29,
111,2015-10-24,Toronto Maple Leafs,3,Montreal Canadiens,5,,"21,288",02:43,
112,2015-10-24,Pittsburgh Penguins,2,Nashville Predators,1,OT,"17,163",02:29,
113,2015-10-24,Arizona Coyotes,4,Ottawa Senators,1,,"17,270",02:29,
114,2015-10-24,New York Rangers,2,Philadelphia Flyers,3,SO,"19,805",02:52,
115,2015-10-24,Carolina Hurricanes,2,San Jose Sharks,5,,"15,814",02:24,
116,2015-10-24,New York Islanders,3,St. Louis Blues,2,OT,"19,186",02:31,
117,2015-10-24,Detroit Red Wings,3,Vancouver Canucks,2,OT,"18,312",02:38,
118,2015-10-25,Los Angeles Kings,3,Edmonton Oilers,2,,"16,839",02:27,
119,2015-10-25,Calgary Flames,1,New York Rangers,4,,"18,006",02:18,
120,2015-10-25,Minnesota Wild,4,Winnipeg Jets,5,,"15,294",02:34,
121,2015-10-26,Anaheim Ducks,0,Chicago Blackhawks,1,OT,"21,529",02:36,
122,2015-10-26,Calgary Flames,0,New York Islanders,4,,"11,582",02:26,
123,2015-10-26,Arizona Coyotes,4,Toronto Maple Leafs,3,,"18,944",02:48,
124,2015-10-27,Arizona Coyotes,0,Boston Bruins,6,,"17,565",02:34,
125,2015-10-27,Anaheim Ducks,3,Dallas Stars,4,,"17,798",02:32,
126,2015-10-27,Carolina Hurricanes,3,Detroit Red Wings,1,,"20,027",02:19,
127,2015-10-27,Colorado Avalanche,1,Florida Panthers,4,,"11,694",02:26,
128,2015-10-27,Edmonton Oilers,3,Minnesota Wild,4,,"18,936",02:23,
129,2015-10-27,Columbus Blue Jackets,3,New Jersey Devils,1,,"12,847",02:17,
130,2015-10-27,Buffalo Sabres,4,Philadelphia Flyers,3,OT,"19,432",02:37,
131,2015-10-27,Tampa Bay Lightning,0,St. Louis Blues,2,,"19,184",02:24,
132,2015-10-27,Montreal Canadiens,1,Vancouver Canucks,5,,"18,570",02:23,
133,2015-10-27,Los Angeles Kings,4,Winnipeg Jets,1,,"15,294",02:20,
134,2015-10-28,Calgary Flames,4,Ottawa Senators,5,SO,"16,923",02:53,
135,2015-10-28,Nashville Predators,2,San Jose Sharks,1,,"15,219",02:24,
136,2015-10-28,Pittsburgh Penguins,3,Washington Capitals,1,,"18,506",02:27,
137,2015-10-29,Vancouver Canucks,3,Dallas Stars,4,OT,"17,664",02:32,
138,2015-10-29,Montreal Canadiens,3,Edmonton Oilers,4,,"16,839",02:37,
139,2015-10-29,Carolina Hurricanes,3,New York Islanders,2,OT,"11,494",02:31,
140,2015-10-29,New Jersey Devils,4,Philadelphia Flyers,1,,"19,241",02:32,
141,2015-10-29,Buffalo Sabres,3,Pittsburgh Penguins,4,,"18,415",02:28,
142,2015-10-29,Anaheim Ducks,1,St. Louis Blues,2,,"16,904",02:30,
143,2015-10-29,Colorado Avalanche,2,Tampa Bay Lightning,1,,"19,092",02:28,
144,2015-10-29,Chicago Blackhawks,1,Winnipeg Jets,3,,"15,294",02:32,
145,2015-10-30,Vancouver Canucks,4,Arizona Coyotes,3,,"12,166",02:22,
146,2015-10-30,Philadelphia Flyers,1,Buffalo Sabres,3,,"15,962",02:37,
147,2015-10-30,Colorado Avalanche,2,Carolina Hurricanes,3,,"9,345",02:22,
148,2015-10-30,Montreal Canadiens,6,Calgary Flames,2,,"19,289",02:36,
149,2015-10-30,Ottawa Senators,3,Detroit Red Wings,1,,"20,027",02:36,
150,2015-10-30,Boston Bruins,3,Florida Panthers,1,,"14,112",02:30,
151,2015-10-30,Chicago Blackhawks,4,Minnesota Wild,5,,"19,140",02:43,
152,2015-10-30,Toronto Maple Leafs,1,New York Rangers,3,,"18,006",02:30,
153,2015-10-30,Columbus Blue Jackets,1,Washington Capitals,2,,"18,506",02:27,
154,2015-10-31,Winnipeg Jets,3,Columbus Blue Jackets,2,,"12,860",02:29,
155,2015-10-31,San Jose Sharks,3,Dallas Stars,5,,"18,178",02:33,
156,2015-10-31,Calgary Flames,5,Edmonton Oilers,4,,"16,839",02:39,
157,2015-10-31,Washington Capitals,2,Florida Panthers,1,OT,"11,207",02:34,
158,2015-10-31,Nashville Predators,3,Los Angeles Kings,4,OT,"18,230",02:29,
159,2015-10-31,New York Islanders,2,New Jersey Devils,3,SO,"11,605",02:30,
160,2015-10-31,Detroit Red Wings,5,Ottawa Senators,3,,"16,964",02:40,
161,2015-10-31,Minnesota Wild,2,St. Louis Blues,3,OT,"17,728",03:01,
162,2015-10-31,Boston Bruins,3,Tampa Bay Lightning,1,,"19,092",02:26,
163,2015-10-31,Pittsburgh Penguins,4,Toronto Maple Leafs,0,,"19,197",02:30,
164,2015-11-01,Nashville Predators,2,Anaheim Ducks,4,,"16,276",02:32,
165,2015-11-01,Tampa Bay Lightning,4,Carolina Hurricanes,3,,"9,081",02:23,
166,2015-11-01,San Jose Sharks,4,Colorado Avalanche,3,,"17,128",02:31,
167,2015-11-01,Winnipeg Jets,1,Montreal Canadiens,5,,"21,288",02:31,
168,2015-11-01,Buffalo Sabres,2,New York Islanders,1,,"11,278",02:18,
169,2015-11-02,Los Angeles Kings,2,Chicago Blackhawks,4,,"21,534",02:28,
170,2015-11-02,Dallas Stars,1,Toronto Maple Leafs,4,,"19,087",02:51,
171,2015-11-02,Philadelphia Flyers,1,Vancouver Canucks,4,,"18,264",02:29,
172,2015-11-03,Dallas Stars,5,Boston Bruins,3,,"17,565",02:33,
173,2015-11-03,Calgary Flames,3,Colorado Avalanche,6,,"14,408",02:31,
174,2015-11-03,Tampa Bay Lightning,1,Detroit Red Wings,2,,"20,027",02:32,
175,2015-11-03,Philadelphia Flyers,2,Edmonton Oilers,4,,"16,839",02:28,
176,2015-11-03,Ottawa Senators,2,Montreal Canadiens,1,OT,"21,288",02:32,
177,2015-11-03,New Jersey Devils,1,New York Islanders,2,,"12,122",02:27,
178,2015-11-03,Washington Capitals,2,New York Rangers,5,,"18,006",02:26,
179,2015-11-03,Columbus Blue Jackets,5,San Jose Sharks,2,,"15,491",02:30,
180,2015-11-03,Los Angeles Kings,3,St. Louis Blues,0,,"17,529",02:35,
181,2015-11-04,Florida Panthers,2,Anaheim Ducks,3,SO,"15,169",02:49,
182,2015-11-04,St. Louis Blues,6,Chicago Blackhawks,5,OT,"21,676",02:45,
183,2015-11-04,Winnipeg Jets,4,Toronto Maple Leafs,2,,"19,113",02:32,
184,2015-11-04,Pittsburgh Penguins,3,Vancouver Canucks,2,,"18,570",02:31,
185,2015-11-05,Colorado Avalanche,2,Arizona Coyotes,4,,"10,270",02:37,
186,2015-11-05,Tampa Bay Lightning,4,Buffalo Sabres,1,,"18,161",02:19,
187,2015-11-05,Philadelphia Flyers,1,Calgary Flames,2,OT,"19,289",02:33,
188,2015-11-05,Columbus Blue Jackets,3,Los Angeles Kings,2,,"18,230",02:37,
189,2015-11-05,Nashville Predators,3,Minnesota Wild,2,,"19,024",02:40,
190,2015-11-05,New York Islanders,1,Montreal Canadiens,4,,"21,288",02:24,
191,2015-11-05,Winnipeg Jets,2,Ottawa Senators,3,SO,"17,195",02:43,
192,2015-11-05,Florida Panthers,2,San Jose Sharks,5,,"15,525",02:29,
193,2015-11-05,Boston Bruins,1,Washington Capitals,4,,"18,506",02:35,
194,2015-11-06,Columbus Blue Jackets,2,Anaheim Ducks,4,,"17,174",02:26,
195,2015-11-06,Dallas Stars,4,Carolina Hurricanes,1,,"10,188",02:32,
196,2015-11-06,New York Rangers,2,Colorado Avalanche,1,,"17,818",02:23,
197,2015-11-06,Pittsburgh Penguins,2,Edmonton Oilers,1,,"16,839",02:33,
198,2015-11-06,Chicago Blackhawks,2,New Jersey Devils,4,,"16,514",02:38,
199,2015-11-06,Detroit Red Wings,2,Toronto Maple Leafs,1,OT,"19,680",02:40,
200,2015-11-07,New York Rangers,4,Arizona Coyotes,1,,"13,029",02:31,
201,2015-11-07,Vancouver Canucks,2,Buffalo Sabres,3,,"19,070",02:26,
202,2015-11-07,Ottawa Senators,2,Carolina Hurricanes,3,OT,"10,005",02:33,
203,2015-11-07,Pittsburgh Penguins,2,Calgary Flames,5,,"19,289",02:31,
204,2015-11-07,Florida Panthers,1,Los Angeles Kings,4,,"18,230",02:32,
205,2015-11-07,Tampa Bay Lightning,0,Minnesota Wild,1,,"19,066",02:20,
206,2015-11-07,Boston Bruins,2,Montreal Canadiens,4,,"21,288",02:46,
207,2015-11-07,St. Louis Blues,4,Nashville Predators,0,,"17,143",02:26,
208,2015-11-07,Anaheim Ducks,1,San Jose Sharks,0,,"17,562",02:32,
209,2015-11-07,Philadelphia Flyers,3,Winnipeg Jets,0,,"15,294",02:27,
210,2015-11-07,Toronto Maple Leafs,2,Washington Capitals,3,SO,"18,506",02:52,
211,2015-11-08,Edmonton Oilers,2,Chicago Blackhawks,4,,"21,611",02:33,
212,2015-11-08,Dallas Stars,4,Detroit Red Wings,1,,"20,027",02:31,
213,2015-11-08,Vancouver Canucks,3,New Jersey Devils,4,OT,"14,896",02:54,
214,2015-11-08,Boston Bruins,2,New York Islanders,1,,"13,197",02:30,
215,2015-11-09,Arizona Coyotes,4,Anaheim Ducks,3,OT,"13,864",02:30,
216,2015-11-10,Vancouver Canucks,5,Columbus Blue Jackets,3,,"14,148",02:27,
217,2015-11-10,Toronto Maple Leafs,3,Dallas Stars,2,,"18,266",02:31,
218,2015-11-10,Washington Capitals,0,Detroit Red Wings,1,,"20,027",02:21,
219,2015-11-10,Calgary Flames,3,Florida Panthers,4,,"11,242",02:24,
220,2015-11-10,Arizona Coyotes,3,Los Angeles Kings,2,,"18,230",02:26,
221,2015-11-10,Winnipeg Jets,3,Minnesota Wild,5,,"19,153",02:31,
222,2015-11-10,St. Louis Blues,2,New Jersey Devils,0,,"13,310",02:18,
223,2015-11-10,Ottawa Senators,5,Nashville Predators,7,,"16,963",02:41,
224,2015-11-10,Carolina Hurricanes,0,New York Rangers,3,,"18,006",02:27,
225,2015-11-10,Colorado Avalanche,4,Philadelphia Flyers,0,,"18,587",02:25,
226,2015-11-10,New York Islanders,4,San Jose Sharks,2,,"16,558",02:27,
227,2015-11-10,Buffalo Sabres,4,Tampa Bay Lightning,1,,"19,092",02:25,
228,2015-11-11,Edmonton Oilers,4,Anaheim Ducks,3,OT,"16,505",02:30,
229,2015-11-11,Montreal Canadiens,3,Pittsburgh Penguins,4,SO,"18,455",02:44,
230,2015-11-12,Edmonton Oilers,1,Arizona Coyotes,4,,"15,545",02:26,
231,2015-11-12,Colorado Avalanche,3,Boston Bruins,2,,"17,565",02:34,
232,2015-11-12,Minnesota Wild,3,Carolina Hurricanes,2,OT,"9,511",02:33,
233,2015-11-12,New Jersey Devils,3,Chicago Blackhawks,2,,"21,568",02:18,
234,2015-11-12,Winnipeg Jets,3,Dallas Stars,6,,"18,010",02:29,
235,2015-11-12,Buffalo Sabres,3,Florida Panthers,2,,"11,271",02:32,
236,2015-11-12,New York Islanders,1,Los Angeles Kings,2,,"18,230",02:27,
237,2015-11-12,Toronto Maple Leafs,2,Nashville Predators,1,SO,"17,231",02:37,
238,2015-11-12,St. Louis Blues,3,New York Rangers,6,,"18,006",02:26,
239,2015-11-12,Vancouver Canucks,2,Ottawa Senators,3,,"19,229",02:23,
240,2015-11-12,Washington Capitals,5,Philadelphia Flyers,2,,"19,414",02:34,
241,2015-11-12,Calgary Flames,1,Tampa Bay Lightning,3,,"19,092",02:40,
242,2015-11-13,New York Islanders,4,Anaheim Ducks,1,,"17,174",02:28,
243,2015-11-13,San Jose Sharks,3,Detroit Red Wings,2,,"20,027",02:17,
244,2015-11-13,Columbus Blue Jackets,2,Pittsburgh Penguins,1,,"18,610",02:40,
245,2015-11-13,Calgary Flames,3,Washington Capitals,2,OT,"18,506",02:35,
246,2015-11-14,Detroit Red Wings,1,Boston Bruins,3,,"17,565",02:24,
247,2015-11-14,San Jose Sharks,2,Buffalo Sabres,1,OT,"18,611",02:33,
248,2015-11-14,Philadelphia Flyers,3,Carolina Hurricanes,2,OT,"13,758",02:21,
249,2015-11-14,Arizona Coyotes,2,Columbus Blue Jackets,5,,"13,702",02:38,
250,2015-11-14,Minnesota Wild,2,Dallas Stars,3,OT,"18,532",02:40,
251,2015-11-14,Edmonton Oilers,3,Los Angeles Kings,4,,"18,230",02:28,
252,2015-11-14,Colorado Avalanche,6,Montreal Canadiens,1,,"21,288",02:23,
253,2015-11-14,Pittsburgh Penguins,0,New Jersey Devils,4,,"16,514",02:29,
254,2015-11-14,Winnipeg Jets,0,Nashville Predators,7,,"17,113",02:42,
255,2015-11-14,New York Rangers,2,Ottawa Senators,1,SO,"19,310",02:33,
256,2015-11-14,Chicago Blackhawks,4,St. Louis Blues,2,,"19,808",02:40,
257,2015-11-14,Florida Panthers,5,Tampa Bay Lightning,4,SO,"19,092",02:53,
258,2015-11-14,Vancouver Canucks,2,Toronto Maple Leafs,4,,"19,798",02:41,
259,2015-11-15,Calgary Flames,1,Chicago Blackhawks,4,,"21,629",02:23,
260,2015-11-15,Toronto Maple Leafs,3,New York Rangers,4,,"18,006",02:38,
261,2015-11-16,Anaheim Ducks,4,Carolina Hurricanes,1,,"9,305",02:22,
262,2015-11-16,Tampa Bay Lightning,0,Florida Panthers,1,,"12,067",02:26,
263,2015-11-16,Vancouver Canucks,3,Montreal Canadiens,4,OT,"21,288",02:37,
264,2015-11-16,Arizona Coyotes,2,New York Islanders,5,,"11,841",02:24,
265,2015-11-16,Detroit Red Wings,4,Ottawa Senators,3,OT,"16,718",02:36,
266,2015-11-16,Winnipeg Jets,2,St. Louis Blues,3,,"18,680",02:33,
267,2015-11-17,San Jose Sharks,5,Boston Bruins,4,,"17,565",02:32,
268,2015-11-17,Dallas Stars,3,Buffalo Sabres,1,,"18,101",02:36,
269,2015-11-17,St. Louis Blues,1,Columbus Blue Jackets,3,,"12,161",02:27,
270,2015-11-17,New Jersey Devils,2,Calgary Flames,3,,"19,289",02:27,
271,2015-11-17,Anaheim Ducks,2,Nashville Predators,3,,"17,113",02:30,
272,2015-11-17,Los Angeles Kings,3,Philadelphia Flyers,2,SO,"18,846",02:36,
273,2015-11-17,Minnesota Wild,3,Pittsburgh Penguins,4,,"18,495",02:43,
274,2015-11-17,Colorado Avalanche,1,Toronto Maple Leafs,5,,"19,238",02:25,
275,2015-11-18,Washington Capitals,2,Detroit Red Wings,1,OT,"20,027",02:26,
276,2015-11-18,Chicago Blackhawks,4,Edmonton Oilers,3,OT,"16,839",02:33,
277,2015-11-18,Vancouver Canucks,1,Winnipeg Jets,4,,"15,294",02:33,
278,2015-11-19,Minnesota Wild,2,Boston Bruins,4,,"17,565",02:29,
279,2015-11-19,Anaheim Ducks,3,Florida Panthers,1,,"10,947",02:30,
280,2015-11-19,Arizona Coyotes,3,Montreal Canadiens,2,,"21,288",02:37,
281,2015-11-19,Columbus Blue Jackets,0,Ottawa Senators,3,,"16,925",02:37,
282,2015-11-19,San Jose Sharks,1,Philadelphia Flyers,0,OT,"18,229",02:37,
283,2015-11-19,Colorado Avalanche,3,Pittsburgh Penguins,4,,"18,430",02:29,
284,2015-11-19,Buffalo Sabres,2,St. Louis Blues,3,SO,"17,359",02:38,
285,2015-11-19,New York Rangers,1,Tampa Bay Lightning,2,,"19,092",02:33,
286,2015-11-19,Dallas Stars,3,Washington Capitals,2,,"18,506",02:27,
287,2015-11-20,Toronto Maple Leafs,2,Carolina Hurricanes,1,SO,"10,327",02:52,
288,2015-11-20,Nashville Predators,0,Columbus Blue Jackets,4,,"13,584",02:24,
289,2015-11-20,Chicago Blackhawks,1,Calgary Flames,2,OT,"19,289",02:32,
290,2015-11-20,Los Angeles Kings,2,Detroit Red Wings,3,,"20,027",02:28,
291,2015-11-20,New Jersey Devils,1,Edmonton Oilers,5,,"16,839",02:22,
292,2015-11-20,Montreal Canadiens,5,New York Islanders,3,,"15,171",02:35,
293,2015-11-21,Toronto Maple Leafs,0,Boston Bruins,2,,"17,565",02:33,
294,2015-11-21,Buffalo Sabres,0,Dallas Stars,3,,"18,532",02:25,
295,2015-11-21,New York Rangers,5,Florida Panthers,4,OT,"17,866",02:48,
296,2015-11-21,Nashville Predators,0,Minnesota Wild,4,,"19,056",02:33,
297,2015-11-21,Philadelphia Flyers,0,Ottawa Senators,4,,"18,578",02:29,
298,2015-11-21,San Jose Sharks,3,Pittsburgh Penguins,1,,"18,534",02:29,
299,2015-11-21,Detroit Red Wings,4,St. Louis Blues,3,OT,"18,098",02:37,
300,2015-11-21,Anaheim Ducks,0,Tampa Bay Lightning,5,,"19,092",02:31,
301,2015-11-21,Chicago Blackhawks,3,Vancouver Canucks,6,,"18,570",02:24,
302,2015-11-21,Arizona Coyotes,2,Winnipeg Jets,3,,"15,294",02:29,
303,2015-11-21,Colorado Avalanche,3,Washington Capitals,7,,"18,506",02:34,
304,2015-11-22,Los Angeles Kings,3,Carolina Hurricanes,4,,"10,154",02:33,
305,2015-11-22,San Jose Sharks,5,Columbus Blue Jackets,3,,"13,397",02:34,
306,2015-11-22,New York Islanders,2,Montreal Canadiens,4,,"21,288",02:28,
307,2015-11-22,New Jersey Devils,3,Vancouver Canucks,2,,"18,268",02:35,
308,2015-11-23,St. Louis Blues,2,Buffalo Sabres,1,,"17,563",02:28,
309,2015-11-23,Los Angeles Kings,3,Florida Panthers,1,,"10,997",02:33,
