					5G v 5G								4G v 4G								5G v 4G								4G v 5G								
J	P	Name	Team	GP	TOI (min)	Raw Delta	Delta	Delta QS	Delta QO	Delta QT	Delta SOT		TOI (min)	Raw Delta	Delta	Delta QS	Delta QO	Delta QT	Delta SOT		TOI (min)	Raw Delta	Delta	Delta QS	Delta QO	Delta QT	Delta SOT		TOI (min)	Raw Delta	Delta	Delta QS	Delta QO	Delta QT	Delta SOT		
39	R	PATRICK DWYER	car	74	914	-2.7	-2.7	1.7	1.2	0.6	0.9		19	-0.1	-0.1	0.0	0.0	-0.3	-0.3		5	0.4	-0.1	0.1	0.0	0.0	-0.0		128	-11.9	0.4	0.5	0.7	-1.1	0.6		
42	L	BRETT SUTTER	car	17	119	-1.1	-1.1	0.4	-0.3	0.3	-0.6		1	-0.1	-0.1	0.0	0.0	-0.0	-0.1		1	0.1	-0.0	0.0	-0.0	0.0	-0.0		6	-0.4	0.2	0.0	0.0	-0.1	0.2		
44	D	JAY HARRISON	car	67	982	-9.0	-9.0	-0.9	0.1	3.0	-6.8		30	0.5	0.5	-0.0	0.1	-0.4	0.2		68	9.8	3.2	-0.0	0.2	0.1	3.4		41	-3.5	0.5	-0.3	-0.0	-0.3	0.0		
53	C	JEFF SKINNER	car	70	946	-3.5	-3.5	-3.6	0.7	2.7	-3.6		31	0.4	0.4	-0.2	-0.0	-0.3	-0.2		190	19.3	1.0	-0.8	-0.1	0.9	1.0		2	-0.2	0.0	-0.2	-0.0	-0.0	-0.2		
58	L	CHRIS TERRY	car	10	102	-1.6	-1.6	-0.2	0.1	0.3	-1.5		0	0.0	0.0	0.0	0.0	-0.0	-0.0		16	0.7	-0.9	-0.1	-0.0	0.1	-0.8		0	0.0	0.0	0.0	0.0	0.0	0.0		
65	D	RON HAINSEY	car	81	1449	8.7	8.7	0.2	1.2	1.9	12.0		51	0.6	0.6	0.1	0.2	-0.6	0.3		49	3.4	-1.4	0.6	0.0	0.5	-0.3		149	-10.9	3.5	-0.2	0.3	-1.6	2.0		
73	D	BRETT BELLEMORE	car	63	970	0.8	0.8	1.3	0.9	0.7	3.7		11	-0.4	-0.4	-0.0	0.0	-0.2	-0.6		6	0.3	-0.3	0.3	-0.0	0.0	0.0		113	-6.1	4.8	-0.2	0.4	-1.0	3.9		
2	D	DUNCAN KEITH	chi	79	1454	14.4	14.4	-0.7	0.3	-9.9	4.2		59	1.1	1.1	-0.2	-0.4	-0.3	0.2		245	20.8	-2.8	-1.7	-0.4	4.4	-0.5		177	-16.8	0.3	0.4	0.9	-1.8	-0.2		
4	D	NIKLAS HJALMARSSON	chi	81	1416	10.4	10.4	1.6	2.0	-9.7	4.4		51	-0.0	-0.0	0.1	-0.4	-0.1	-0.5		9	0.6	-0.4	0.5	-0.2	0.2	0.1		211	-18.3	2.0	1.1	0.9	-1.6	2.4		
5	D	DAVID RUNDBLAD	chi	5	42	0.8	0.8	-0.0	-0.3	-0.2	0.3		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
6	D	MICHAEL KOSTKA	chi	9	124	-0.5	-0.5	0.1	-0.5	-0.8	-1.7		4	-0.0	-0.0	-0.0	0.0	-0.0	-0.0		2	0.5	0.2	0.0	-0.0	0.0	0.2		2	-0.1	0.1	-0.1	0.0	-0.0	0.1		
7	D	BRENT SEABROOK	chi	82	1432	12.1	12.1	-0.9	0.2	-10.0	1.4		63	1.5	1.5	-0.1	-0.5	-0.2	0.6		150	11.5	-3.0	0.9	-0.5	2.4	-0.2		156	-12.7	2.4	-0.7	0.8	-1.0	1.4		
8	D	NICK LEDDY	chi	82	1138	12.8	12.8	-1.5	-2.6	-6.1	2.5		29	0.4	0.4	0.1	-0.1	-0.1	0.3		150	11.1	-3.4	0.7	-0.7	2.3	-1.1		3	-0.3	0.1	-0.3	0.0	-0.0	-0.2		
10	R	PATRICK SHARP	chi	82	1232	14.3	14.3	-2.9	1.6	-9.0	4.0		29	-0.2	-0.2	-0.1	-0.2	-0.1	-0.6		257	21.7	-3.0	-1.9	-0.7	4.5	-1.1		3	0.2	0.5	-0.4	0.0	-0.0	0.1		
11	L	JEREMY MORIN	chi	24	211	2.3	2.3	-0.6	-0.6	-1.1	-0.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		5	0.6	-0.0	0.1	-0.0	0.1	0.1		0	0.0	0.0	0.0	0.0	0.0	0.0		
12	C	PETER REGIN	chi	17	164	1.1	1.1	-0.1	-0.3	-0.9	-0.2		3	0.5	0.5	0.0	0.0	-0.0	0.5		5	-0.1	-0.6	0.1	-0.1	0.1	-0.5		3	-0.6	-0.3	0.0	0.0	0.0	-0.3		
16	C	MARCUS KRUGER	chi	81	893	4.8	4.8	6.8	0.1	-6.2	5.5		18	0.2	0.2	0.2	-0.1	-0.0	0.3		7	0.5	-0.2	0.4	0.1	0.1	0.3		203	-18.8	0.7	1.1	1.0	-2.2	0.6		
17	D	SHELDON BROOKBANK	chi	48	586	0.3	0.3	-0.6	-0.8	-3.6	-4.7		6	0.1	0.1	-0.0	-0.1	-0.0	-0.1		2	-0.1	-0.4	0.1	-0.0	0.0	-0.3		20	-2.3	-0.4	0.0	0.1	-0.1	-0.3		
19	C	JONATHAN TOEWS	chi	76	1134	19.2	19.2	-2.7	1.9	-7.8	10.6		41	0.8	0.8	0.0	-0.4	-0.1	0.4		234	19.3	-3.2	-1.6	-0.6	4.0	-1.4		106	-11.0	-0.8	-0.6	0.8	-0.7	-1.3		
20	L	BRANDON SAAD	chi	78	1012	12.5	12.5	-1.7	-0.7	-5.7	4.4		43	1.0	1.0	0.0	-0.4	-0.2	0.5		131	9.7	-2.9	0.7	-0.5	2.0	-0.7		51	-3.3	1.6	-0.4	0.2	-0.3	1.0		
22	R	JIMMY HAYES	chi	2	23	-0.2	-0.2	-0.0	-0.0	-0.2	-0.4		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
23	R	KRIS VERSTEEG	chi	63	743	3.0	3.0	-1.6	-0.3	-4.2	-3.2		18	0.3	0.3	0.0	-0.1	-0.2	0.1		109	7.9	-2.7	0.7	-0.1	1.9	-0.3		1	-0.2	-0.1	0.0	0.0	-0.0	-0.1		
25	L	MATT CAREY	chi	2	20	-0.8	-0.8	0.0	0.0	-0.1	-0.8		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.1	0.0	0.0	-0.0	0.0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
26	C	MICHAL HANDZUS	chi	59	633	2.3	2.3	-1.0	-0.3	-3.6	-2.7		2	-0.0	-0.0	0.1	0.0	-0.0	0.1		4	-0.5	-0.9	0.0	0.0	0.0	-0.9		155	-11.6	3.3	0.8	0.7	-1.4	3.3		
27	D	JOHNNY ODUYA	chi	77	1296	6.0	6.0	1.5	1.6	-9.4	-0.3		43	0.3	0.3	0.1	-0.4	-0.0	-0.1		13	1.0	-0.3	0.5	-0.1	0.2	0.3		150	-14.6	-0.2	-0.1	0.8	-1.4	-0.8		
28	R	BEN SMITH	chi	75	810	3.5	3.5	4.6	-0.3	-5.8	2.0		7	0.1	0.1	0.0	-0.0	-0.1	0.0		23	1.6	-0.6	0.2	0.0	0.3	-0.1		90	-8.4	0.3	0.1	0.5	-0.8	0.2		
29	L	BRYAN BICKELL	chi	59	639	6.0	6.0	-1.6	-1.5	-3.8	-0.9		3	-0.4	-0.4	-0.0	0.0	-0.0	-0.4		30	2.0	-0.9	-0.1	-0.3	0.6	-0.7		0	0.0	0.0	0.0	0.0	0.0	0.0		
32	D	MICHAL ROZSIVAL	chi	42	627	8.7	8.7	-1.0	-0.7	-3.8	3.1		10	-0.1	-0.1	0.0	0.1	-0.1	-0.1		16	0.5	-1.1	0.2	-0.0	0.3	-0.7		32	-3.3	-0.1	-0.2	0.4	-0.2	-0.2		
37	C	BRANDON PIRRI	chi	28	307	-0.0	-0.0	-0.8	-0.4	-1.9	-3.2		1	-0.1	-0.1	-0.0	0.0	-0.0	-0.1		23	1.8	-0.5	-0.2	-0.1	0.3	-0.4		0	0.0	0.0	0.0	0.0	0.0	0.0		
42	C	JOAKIM NORDSTROM	chi	16	168	0.3	0.3	1.0	-0.0	-1.1	0.2		2	-0.1	-0.1	0.0	-0.1	-0.0	-0.1		0	0.2	0.2	0.0	0.0	0.0	0.2		12	-1.9	-0.7	0.1	0.1	-0.0	-0.5		
51	C	BRAD MILLS	chi	3	27	0.5	0.5	-0.0	-0.0	-0.2	0.3		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		3	-0.9	-0.5	-0.0	0.1	-0.0	-0.6		
52	L	BRANDON BOLLIG	chi	82	821	3.5	3.5	6.2	-0.1	-5.8	3.8		0	0.0	0.0	0.0	0.0	-0.0	-0.0		2	0.2	-0.0	0.2	0.0	0.0	0.2		16	-2.0	-0.3	-0.1	0.2	-0.1	-0.4		
65	C	ANDREW SHAW	chi	80	995	11.3	11.3	-2.2	-1.5	-5.8	1.7		21	0.7	0.7	-0.2	-0.2	-0.1	0.2		209	17.9	-2.2	-1.4	-0.6	3.7	-0.6		16	-1.5	0.1	-0.1	0.1	-0.1	-0.0		
81	R	MARIAN HOSSA	chi	72	1022	9.8	9.8	-2.1	1.9	-7.9	1.6		34	0.6	0.6	-0.1	-0.3	-0.0	0.2		135	10.9	-2.2	1.0	-0.4	2.3	0.7		88	-8.2	0.3	-0.5	0.4	-0.4	-0.2		
86	L	TEUVO TERAVAINEN	chi	3	38	-0.4	-0.4	-0.0	-0.0	-0.2	-0.7		0	0.0	0.0	0.0	0.0	-0.0	-0.0		4	0.5	0.0	-0.0	-0.0	0.1	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
88	R	PATRICK KANE	chi	69	1055	10.8	10.8	-2.8	-0.5	-5.9	1.6		41	-0.0	-0.0	-0.2	-0.3	-0.2	-0.7		220	18.5	-2.8	-1.5	-0.8	3.9	-1.2		0	-0.1	-0.0	-0.0	0.0	-0.0	-0.1		
2	D	NICK HOLDEN	col	54	803	1.0	1.0	-0.2	0.5	2.4	3.7		25	-0.2	-0.2	-0.0	-0.0	0.2	-0.0		91	11.0	2.2	0.1	0.3	-0.1	2.5		75	-8.5	-1.2	-0.1	-0.3	0.5	-1.1		
3	D	KARL STOLLERY	col	2	13	0.5	0.5	-0.0	0.0	0.1	0.6		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
4	D	TYSON BARRIE	col	64	943	0.5	0.5	-1.0	0.6	3.2	3.3		36	-0.2	-0.2	-0.1	0.1	0.4	0.3		159	12.2	-3.2	-0.7	-0.1	-0.3	-4.3		4	-0.7	-0.3	-0.1	0.1	0.0	-0.2		
5	D	NATE GUENIN	col	68	953	-7.4	-7.4	-1.1	0.1	2.7	-5.8		21	-0.2	-0.2	0.0	-0.0	0.3	0.1		3	0.1	-0.2	0.3	0.0	0.0	0.1		179	-22.4	-5.2	1.1	0.7	1.0	-2.3		
6	D	ERIK JOHNSON	col	80	1461	-3.4	-3.4	1.8	2.9	1.6	2.8		54	-1.0	-1.0	-0.1	-0.0	0.6	-0.5		198	19.4	0.4	-0.4	-0.4	-0.3	-0.8		73	-5.8	1.3	-0.4	-0.2	0.6	1.3		
7	C	JOHN MITCHELL	col	75	976	-8.7	-8.7	1.1	0.1	3.1	-4.3		15	-0.9	-0.9	0.1	0.1	0.1	-0.7		79	7.1	-0.6	0.3	0.1	-0.1	-0.3		132	-14.1	-1.4	-0.1	0.6	1.2	0.4		
8	D	JAN HEJDA	col	78	1429	-7.3	-7.3	2.0	3.3	1.5	-0.5		47	-1.7	-1.7	0.0	-0.0	0.5	-1.2		8	0.5	-0.2	0.5	-0.1	-0.0	0.1		220	-23.7	-2.5	1.0	0.5	1.7	0.7		
9	C	MATT DUCHENE	col	71	1031	5.1	5.1	0.4	1.6	1.6	8.8		36	0.6	0.6	-0.1	0.0	0.3	0.9		176	19.4	2.5	-0.4	-0.6	-0.6	0.9		15	-0.9	0.6	-0.4	-0.1	0.0	0.2		
11	L	JAMIE MCGINN	col	79	1062	-2.6	-2.6	-0.2	1.1	1.5	-0.2		13	0.2	0.2	0.0	0.0	0.2	0.5		134	11.3	-1.6	-0.4	0.2	-0.6	-2.4		23	-3.4	-1.1	-0.2	0.2	0.2	-0.9		
14	L	DAVID VAN DER GULIK	col	2	12	0.2	0.2	-0.1	-0.0	0.1	0.2		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
15	R	PA PARENTEAU	col	55	756	2.6	2.6	-0.1	1.3	0.4	4.1		16	0.0	0.0	-0.1	-0.0	0.1	-0.0		128	13.4	1.0	-0.6	-0.7	-0.1	-0.4		1	-0.1	0.1	-0.0	0.0	0.0	0.1		
16	D	CORY SARICH	col	54	802	-3.7	-3.7	-0.3	-1.0	2.2	-2.9		17	0.4	0.4	-0.1	0.1	0.1	0.5		1	0.2	0.0	0.1	-0.0	-0.0	0.1		91	-9.3	-0.5	-0.2	0.2	0.7	0.3		
17	R	STEVE DOWNIE	col	11	149	-0.0	-0.0	-0.2	-0.3	0.1	-0.3		0	0.0	0.0	0.0	0.0	-0.0	-0.0		26	3.9	1.3	0.2	-0.2	-0.2	1.1		0	0.0	0.0	0.0	0.0	0.0	0.0		
22	D	MATT HUNWICK	col	1	17	0.8	0.8	-0.0	-0.0	0.0	0.7		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	-0.1	0.0	-0.0	-0.0	-0.1		0	0.0	0.1	0.0	-0.0	-0.0	0.1		
24	R	MARC-ANDRE CLICHE	col	76	610	-10.4	-10.4	-0.5	-1.0	3.9	-8.1		2	-0.2	-0.2	0.0	-0.0	0.0	-0.2		4	0.1	-0.3	0.3	-0.0	-0.0	-0.0		194	-21.4	-2.7	1.2	0.1	1.4	-0.0		
25	C	MAXIME TALBOT	col	70	936	-10.4	-10.4	0.7	0.3	4.0	-5.4		8	-0.3	-0.3	0.1	0.1	0.1	-0.1		5	0.2	-0.3	0.6	0.0	-0.0	0.2		173	-19.8	-3.2	1.3	0.3	1.2	-0.3		
26	C	PAUL STASTNY	col	71	1027	4.7	4.7	0.6	2.1	0.3	7.6		35	-0.0	-0.0	-0.0	0.0	0.5	0.5		148	14.9	0.6	-0.4	-0.3	0.0	-0.1		39	-4.5	-0.7	-0.4	0.1	0.3	-0.8		
28	C	PAUL CAREY	col	12	74	-1.2	-1.2	-0.5	-0.1	0.5	-1.2		0	0.0	0.0	0.0	0.0	-0.0	-0.0		2	0.2	-0.1	0.0	-0.0	0.0	-0.1		0	0.0	0.0	0.0	0.0	0.0	0.0		
29	C	NATHAN MACKINNON	col	82	1170	-6.0	-6.0	0.2	1.5	0.8	-3.5		35	-0.4	-0.4	-0.1	-0.0	0.3	-0.2		174	19.3	2.5	-0.2	-0.4	0.1	2.1		6	-0.2	0.3	-0.1	-0.0	0.1	0.3		
40	L	ALEX TANGUAY	col	16	209	-0.0	-0.0	0.2	-0.1	-0.2	-0.2		3	0.3	0.3	0.0	0.1	0.0	0.5		42	4.8	0.7	0.2	-0.4	-0.4	0.1		8	-0.3	0.5	-0.2	0.0	0.1	0.4		
42	C	BRAD MALONE	col	32	221	-2.3	-2.3	-0.9	-0.3	1.6	-2.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		1	0.0	-0.1	-0.0	0.0	-0.0	-0.2		0	0.0	0.0	0.0	0.0	0.0	0.0		
44	D	RYAN WILSON	col	28	364	-5.4	-5.4	-0.3	-0.2	1.1	-4.8		6	-0.1	-0.1	0.0	-0.0	0.0	-0.1		5	0.4	-0.2	0.0	-0.0	0.0	-0.2		30	-2.6	0.3	-0.2	-0.2	0.2	0.1		
46	D	STEFAN ELLIOTT	col	1	15	0.1	0.1	-0.0	-0.0	0.1	0.1		0	0.0	0.0	0.0	0.0	-0.0	-0.0		1	0.1	-0.0	0.1	-0.0	0.0	-0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
55	L	CODY MCLEOD	col	71	624	-7.6	-7.6	0.1	-0.7	3.9	-4.3		1	-0.4	-0.4	0.0	0.0	0.0	-0.3		0	-0.0	-0.1	0.2	-0.0	-0.0	0.0		98	-13.0	-3.5	-0.2	0.2	0.6	-2.9		
58	L	PATRICK BORDELEAU	col	82	576	-8.0	-8.0	-1.0	-1.5	3.8	-6.9		0	0.0	0.0	0.0	0.0	-0.0	-0.0		2	0.1	-0.2	0.3	0.0	-0.0	0.1		0	0.0	0.0	0.0	0.0	0.0	0.0		
61	D	ANDRE BENOIT	col	79	1215	-6.0	-6.0	0.1	-0.3	3.4	-2.9		40	-0.1	-0.1	-0.0	0.2	0.2	0.3		176	18.9	1.9	0.0	-0.2	-0.4	1.4		122	-13.9	-2.1	-0.4	0.3	0.9	-1.4		
90	C	RYAN O'REILLY	col	80	1190	-2.0	-2.1	0.6	2.2	0.5	1.3		47	-0.7	-0.7	-0.1	-0.0	0.3	-0.5		197	21.9	2.9	-0.4	-0.5	-0.6	1.4		85	-6.5	1.8	-0.1	-0.2	0.7	2.2		
92	L	GABRIEL LANDESKOG	col	81	1215	4.4	4.4	1.1	2.6	0.8	8.8		35	-1.4	-1.4	-0.0	-0.0	0.3	-1.1		176	17.1	0.1	-0.3	-0.3	0.0	-0.5		16	-1.2	0.3	-0.5	0.0	0.1	-0.0		
5	R	JACK SKILLE	cls	15	131	-1.4	-1.4	-0.1	-0.6	0.4	-1.7		0	0.0	0.0	0.0	0.0	-0.0	-0.0		2	0.1	-0.1	0.0	-0.0	0.0	-0.1		0	0.0	0.0	0.0	0.0	0.0	0.0		
6	D	NIKITA NIKITIN	cls	67	1009	-5.6	-5.6	-0.5	-1.7	1.7	-6.0		30	0.9	0.9	0.0	0.2	-0.1	1.0		49	4.2	-0.5	0.5	-0.2	-0.0	-0.2		52	-6.3	-1.3	0.0	0.1	0.1	-1.1		
7	D	JACK JOHNSON	cls	82	1406	-1.8	-1.8	1.1	0.8	0.9	0.9		62	1.0	1.0	-0.1	-0.3	-0.1	0.4		244	25.6	2.1	-0.7	-0.3	-0.3	0.8		230	-26.6	-4.5	1.0	0.9	0.4	-2.2		
8	R	NATHAN HORTON	cls	36	456	-1.1	-1.1	-0.9	0.9	-0.1	-1.1		13	0.3	0.3	-0.1	-0.0	0.0	0.2		72	6.9	0.0	0.0	-0.4	-0.2	-0.6		1	-0.1	0.1	-0.1	-0.1	-0.0	-0.1		
10	R	MARIAN GABORIK	cls	22	277	0.5	0.5	0.0	-0.0	0.0	0.5		9	-0.2	-0.2	-0.0	0.0	0.0	-0.2		58	5.4	-0.2	0.0	-0.5	-0.1	-0.7		0	0.0	0.0	-0.0	0.0	-0.0	0.0		
11	L	MATT CALVERT	cls	56	681	0.9	0.9	-0.2	0.4	0.2	1.4		16	0.5	0.5	-0.0	0.1	-0.0	0.5		79	8.2	0.6	-0.4	-0.0	-0.2	-0.1		71	-6.3	0.5	-0.5	0.2	0.1	0.4		
12	C	RYAN CRAIG	cls	6	42	-0.5	-0.5	-0.1	-0.2	0.1	-0.7		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
13	R	CAM ATKINSON	cls	78	1000	1.5	1.5	-0.6	-0.4	-0.0	0.5		35	1.2	1.2	-0.1	-0.1	-0.1	0.9		159	17.6	2.3	-0.5	-0.0	-0.2	1.5		12	-1.2	0.1	-0.2	-0.0	0.0	-0.1		
14	L	BLAKE COMEAU	cls	61	689	1.1	1.1	0.0	-1.0	1.5	1.6		3	0.1	0.1	-0.0	0.0	0.0	0.1		7	0.2	-0.5	0.3	0.0	0.0	-0.2		22	-2.2	-0.1	-0.4	-0.0	-0.0	-0.5		
15	D	NICK SCHULTZ	cls	9	92	1.0	1.0	-0.3	0.0	0.1	0.9		0	0.1	0.1	0.0	0.0	-0.0	0.1		0	0.0	0.0	0.0	0.0	-0.0	-0.0		3	-0.3	0.1	0.0	-0.0	0.0	0.1		
17	C	BRANDON DUBINSKY	cls	76	972	4.5	4.4	0.1	0.4	0.3	5.3		47	0.8	0.8	-0.1	-0.1	-0.3	0.4		183	19.2	1.6	-0.7	-0.5	-0.4	-0.1		151	-12.8	1.7	0.4	0.4	0.5	3.1		
18	C	RJ UMBERGER	cls	75	924	-7.5	-7.5	0.2	0.8	-0.1	-6.6		22	0.1	0.1	-0.1	0.1	0.1	0.1		142	13.3	-0.4	0.1	-0.5	0.1	-0.7		77	-7.2	0.2	-0.5	0.2	0.0	-0.1		
19	C	RYAN JOHANSEN	cls	82	1092	2.2	2.2	0.3	1.3	0.7	4.4		36	-1.3	-1.3	-0.1	-0.1	-0.2	-1.8		196	19.8	0.9	-0.3	-0.6	-0.2	-0.2		63	-7.2	-1.0	0.7	0.0	0.1	-0.2		
20	D	TIM ERIXON	cls	2	27	-0.5	-0.5	0.0	-0.0	0.1	-0.5		0	0.0	0.0	0.0	0.0	-0.0	-0.0		1	-0.1	-0.2	0.0	0.0	-0.0	-0.2		0	0.0	0.0	-0.0	-0.0	-0.0	-0.0		
21	D	JAMES WISNIEWSKI	cls	75	1179	4.7	4.7	-0.9	-0.0	1.1	5.0		45	-0.5	-0.5	-0.1	0.0	-0.1	-0.7		250	25.1	1.1	-0.7	-0.8	-0.2	-0.7		143	-11.9	1.9	-0.1	0.3	-0.1	2.0		
23	R	MATT FRATTIN	cls	4	48	-0.1	-0.1	-0.1	0.2	-0.0	0.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		2	0.2	0.0	0.0	-0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
24	C	DEREK MACKENZIE	cls	71	660	-2.8	-2.8	-0.7	-1.5	1.8	-3.1		2	0.0	-0.0	0.0	0.0	0.0	0.0		5	0.4	-0.1	0.2	-0.0	0.0	0.1		129	-13.8	-1.4	0.9	0.5	0.3	0.3		
26	R	COREY TROPP	cls	44	376	-1.0	-1.0	-0.6	-0.7	1.0	-1.3		0	0.0	-0.0	0.0	0.0	0.0	0.0		2	0.0	-0.2	0.1	0.0	-0.0	-0.1		0	0.0	0.0	0.0	0.0	0.0	0.0		
27	D	RYAN MURRAY	cls	65	982	-1.5	-1.5	-1.1	-0.2	0.4	-2.4		40	-0.4	-0.4	-0.1	0.0	-0.1	-0.5		128	12.2	-0.1	0.1	-0.5	-0.1	-0.5		106	-8.2	2.1	-0.4	0.2	-0.1	1.9		
32	C	CODY BASS	cls	1	2	-0.3	-0.3	-0.0	-0.0	0.0	-0.3		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
38	C	BOONE JENNER	cls	72	920	2.7	2.7	-0.2	-0.1	0.8	3.2		3	0.0	0.0	-0.0	0.0	0.0	0.1		62	8.1	2.1	0.1	-0.1	-0.1	2.1		1	-0.1	0.0	0.0	-0.0	0.0	0.1		
39	C	MICHAEL CHAPUT	cls	17	152	-2.1	-2.1	-0.0	-0.5	0.6	-2.1		0	0.0	0.0	0.0	0.0	-0.0	-0.0		1	0.0	-0.1	0.0	0.0	0.0	-0.1		2	-0.1	0.2	0.0	-0.0	0.0	0.2		
40	R	JARED BOLL	cls	27	200	-2.3	-2.3	-0.3	-0.9	0.8	-2.7		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	-0.0	0.0	-0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
42	C	ARTEM ANISIMOV	cls	81	920	-1.8	-1.8	0.7	-0.2	0.7	-0.5		34	0.0	0.0	-0.0	0.1	-0.1	-0.1		151	15.6	1.0	-0.4	-0.4	-0.2	-0.0		166	-20.1	-4.1	0.3	0.6	-0.2	-3.4		
43	C	SEAN COLLINS	cls	6	51	-0.3	-0.3	-0.1	-0.2	0.2	-0.4		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	-0.0	0.0	-0.0	-0.0	0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
47	D	DALTON PROUT	cls	50	739	1.3	1.3	-0.3	0.1	0.8	1.9		15	-0.1	-0.1	-0.1	-0.0	-0.0	-0.2		5	-0.1	-0.6	0.2	-0.1	-0.0	-0.5		76	-8.5	-1.2	0.2	0.1	0.3	-0.6		
48	D	CODY GOLOUBEF	cls	5	50	-0.1	-0.1	0.0	-0.1	0.1	-0.1		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	-0.0	-0.0		0	0.0	0.0	0.0	0.0	0.0	0.0		
51	D	FEDOR TYUTIN	cls	68	1099	0.7	0.7	0.4	0.6	0.7	2.5		42	0.3	0.3	-0.1	-0.3	-0.2	-0.2		105	10.9	0.8	0.3	0.3	-0.1	1.3		181	-19.0	-1.5	0.7	0.8	0.5	0.4		
55	C	MARK LETESTU	cls	82	870	-4.5	-4.5	-0.5	-1.2	1.7	-4.5		22	0.0	0.0	0.2	-0.0	-0.1	0.0		97	11.1	1.8	-0.1	-0.3	-0.2	1.1		178	-18.9	-1.7	0.7	0.6	0.4	-0.0		
58	D	DAVID SAVARD	cls	70	1067	-5.7	-5.7	-0.2	-1.4	1.8	-5.6		30	0.5	0.5	0.0	0.2	-0.2	0.5		38	5.0	1.3	0.1	-0.4	-0.1	1.0		91	-9.9	-1.1	-0.1	0.1	0.3	-0.9		
71	L	NICK FOLIGNO	cls	71	955	3.9	3.9	0.2	1.2	1.1	6.4		21	0.1	0.1	-0.1	-0.1	-0.0	-0.2		114	8.5	-2.5	0.5	-0.1	-0.1	-2.2		13	-1.1	0.1	-0.2	0.0	0.0	0.0		
3	D	STEPHANE ROBIDAS	dal	24	392	1.5	1.5	-0.5	0.4	-0.9	0.6		10	-0.5	-0.5	0.2	0.1	0.2	-0.0		16	1.9	0.3	0.2	0.1	-0.1	0.6		55	-7.4	-2.1	0.0	0.2	0.2	-1.7		
4	D	BRENDEN DILLON	dal	80	1409	2.4	2.4	0.6	1.3	-3.6	0.8		58	-2.1	-2.1	0.1	0.2	0.7	-1.2		7	0.5	-0.2	0.5	-0.0	-0.0	0.3		176	-18.2	-1.3	0.5	0.6	0.9	0.8		
5	D	JAMIE OLEKSIAK	dal	7	94	1.5	1.5	0.0	-0.4	-0.1	1.0		4	0.1	0.1	0.0	0.0	0.1	0.2		7	1.2	0.5	0.0	0.0	-0.0	0.5		11	-2.2	-1.2	-0.2	-0.1	0.1	-1.3		
6	D	TREVOR DALEY	dal	67	1071	3.9	3.9	0.6	0.9	-2.9	2.4		49	-1.0	-1.0	0.1	0.1	0.6	-0.1		68	5.9	-0.6	0.4	-0.1	-0.3	-0.7		148	-15.4	-1.1	0.2	0.3	0.1	-0.5		
10	C	SHAWN HORCOFF	dal	77	782	-0.2	-0.2	-0.7	-0.6	-1.0	-2.5		5	0.2	0.2	-0.1	-0.0	0.1	0.1		88	7.5	-1.0	0.6	-0.2	-0.2	-0.9		76	-8.2	-0.8	-0.2	0.1	0.4	-0.6		
11	C	DUSTIN JEFFREY	dal	23	193	-1.4	-1.4	-0.2	0.1	-0.2	-1.7		1	0.0	0.0	-0.0	-0.0	-0.0	-0.0		5	0.5	-0.0	0.1	-0.1	-0.0	-0.1		1	0.0	0.1	-0.1	-0.0	-0.0	0.0		
