					5G v 5G								4G v 4G								5G v 4G								4G v 5G								
J	P	Name	Team	GP	TOI (min)	Raw Delta	Delta	Delta QS	Delta QO	Delta QT	Delta SOT		TOI (min)	Raw Delta	Delta	Delta QS	Delta QO	Delta QT	Delta SOT		TOI (min)	Raw Delta	Delta	Delta QS	Delta QO	Delta QT	Delta SOT		TOI (min)	Raw Delta	Delta	Delta QS	Delta QO	Delta QT	Delta SOT		
4	D	PAUL POSTMA	wpg	20	288	0.2	0.2	-0.3	-0.4	0.1	-0.4		11	-0.2	-0.2	-0.0	-0.0	0.1	-0.1		13	0.8	-0.5	0.2	-0.1	0.3	-0.1		5	-0.4	0.1	-0.1	0.0	-0.1	-0.1		
5	D	MARK STUART	wpg	69	1068	-2.1	-2.1	1.5	0.2	-0.6	-0.9		14	0.5	0.5	0.1	0.0	0.1	0.7		3	0.0	-0.3	0.1	0.1	0.1	-0.0		202	-20.5	-1.0	1.0	0.8	-2.3	-1.5		
7	D	KEATON ELLERBY	wpg	51	685	1.7	1.7	-0.0	-0.1	-0.4	1.1		14	-1.1	-1.1	0.0	-0.0	0.1	-1.0		5	0.1	-0.5	0.2	-0.0	0.2	-0.2		6	-0.7	-0.1	-0.1	-0.0	-0.1	-0.3		
8	D	JACOB TROUBA	wpg	65	1084	-1.3	-1.3	1.2	0.7	-0.5	0.1		48	0.0	0.0	-0.0	-0.1	0.1	0.0		127	8.7	-3.6	0.8	-0.7	2.6	-0.8		180	-15.4	2.0	0.1	0.7	-1.9	0.9		
9	L	EVANDER KANE	wpg	63	961	-2.4	-2.4	0.1	1.2	-0.7	-1.8		52	-1.3	-1.3	-0.1	-0.0	0.3	-1.2		136	8.8	-4.3	0.1	-0.4	2.6	-2.1		109	-10.3	0.2	-0.2	0.8	-1.1	-0.3		
12	C	OLLI JOKINEN	wpg	82	1159	2.2	2.2	2.2	0.5	-0.9	4.1		42	-0.4	-0.4	0.0	-0.2	0.4	-0.2		135	12.0	-1.1	0.1	-0.4	2.9	1.4		39	-3.9	-0.1	0.1	0.1	-0.4	-0.4		
14	R	ANTHONY PELUSO	wpg	53	305	-3.1	-3.1	-0.3	-0.8	0.7	-3.5		0	0.0	0.0	0.0	0.0	-0.0	-0.0		3	0.1	-0.2	0.0	-0.1	0.2	-0.1		0	0.0	0.0	0.0	0.0	0.0	0.0		
15	R	MATT HALISCHUK	wpg	46	469	-4.3	-4.3	-0.2	0.4	0.2	-3.8		0	0.0	0.0	0.0	0.0	-0.0	-0.0		3	0.1	-0.2	0.2	0.0	0.1	0.1		41	-3.5	0.5	-0.3	0.1	-0.4	-0.1		
16	L	ANDREW LADD	wpg	78	1061	2.7	2.7	0.5	2.3	-1.2	4.3		58	0.2	0.2	-0.0	0.2	0.2	0.5		198	16.2	-2.9	-0.4	-0.6	3.5	-0.3		159	-12.7	2.7	0.8	0.6	-2.2	1.9		
17	C	JAMES WRIGHT	wpg	59	416	-2.4	-2.4	-0.1	-0.8	0.6	-2.8		2	0.1	0.1	0.0	-0.0	0.0	0.1		3	0.1	-0.3	0.0	-0.1	0.2	-0.2		129	-12.8	-0.3	0.2	0.8	-1.3	-0.6		
